QuestionText,AnswerText,Tags
What jewelry do you wear for interview in summer?,preppy purple silk jewelry,"jewelry,preppy,purple,silk,interview,summer"
Describe a oxfords you would wear to interview in summer.,formal red linen oxfords,"oxfords,formal,red,linen,interview,summer"
What's your preferred suit for casual in spring?,athleisure black suede suit,"suit,athleisure,black,suede,casual,spring"
What boots do you wear for concert in summer?,vintage gray cotton boots,"boots,vintage,gray,cotton,concert,summer"
Which pants is your choice for indoor during autumn?,casual red nylon pants,"pants,casual,red,nylon,indoor,autumn"
Describe a blouse you would wear to dinner in winter.,formal purple linen blouse,"blouse,formal,purple,linen,dinner,winter"
What's your preferred pants for formal in autumn?,preppy brown suede pants,"pants,preppy,brown,suede,formal,autumn"
Describe a dress you would wear to party in autumn.,punk brown wool dress,"dress,punk,brown,wool,party,autumn"
Describe a jewelry you would wear to date night in winter.,casual pink linen jewelry,"jewelry,casual,pink,linen,date night,winter"
What flats do you wear for indoor in spring?,bohemian gray wool flats,"flats,bohemian,gray,wool,indoor,spring"
Describe a shorts you would wear to beach in autumn.,vintage yellow nylon shorts,"shorts,vintage,yellow,nylon,beach,autumn"
Describe a coat you would wear to work in autumn.,streetwear brown suede coat,"coat,streetwear,brown,suede,work,autumn"
What's your preferred blazer for work in winter?,grunge red suede blazer,"blazer,grunge,red,suede,work,winter"
What jacket do you wear for festival in autumn?,streetwear white velvet jacket,"jacket,streetwear,white,velvet,festival,autumn"
What's your preferred skirt for outdoor in summer?,casual brown cotton skirt,"skirt,casual,brown,cotton,outdoor,summer"
Which slippers is your choice for beach during winter?,casual beige polyester slippers,"slippers,casual,beige,polyester,beach,winter"
Describe a sandals you would wear to dinner in summer.,athleisure purple wool sandals,"sandals,athleisure,purple,wool,dinner,summer"
Describe a shirt you would wear to outdoor in summer.,punk green suede shirt,"shirt,punk,green,suede,outdoor,summer"
What's your preferred oxfords for formal in summer?,minimalist brown polyester oxfords,"oxfords,minimalist,brown,polyester,formal,summer"
Which dress is your choice for outdoor during summer?,athleisure blue silk dress,"dress,athleisure,blue,silk,outdoor,summer"
What boots do you wear for outdoor in spring?,casual purple denim boots,"boots,casual,purple,denim,outdoor,spring"
Describe a scarf you would wear to work in spring.,vintage orange velvet scarf,"scarf,vintage,orange,velvet,work,spring"
Describe a t-shirt you would wear to outdoor in winter.,minimalist black suede t-shirt,"t-shirt,minimalist,black,suede,outdoor,winter"
